,receivetimeAEST,counts
187,2021-07-31 08:00:00,19
188,2021-07-31 09:00:00,21
189,2021-07-31 10:00:00,17
190,2021-07-31 11:00:00,27
191,2021-07-31 12:00:00,27
192,2021-07-31 13:00:00,23
193,2021-07-31 14:00:00,30
194,2021-07-31 15:00:00,25
195,2021-07-31 16:00:00,32
196,2021-07-31 17:00:00,36
197,2021-07-31 18:00:00,29
198,2021-07-31 19:00:00,15
199,2021-07-31 20:00:00,14
200,2021-07-31 21:00:00,15
201,2021-07-31 22:00:00,5
202,2021-07-31 23:00:00,6
203,2021-08-01 00:00:00,7
204,2021-08-01 01:00:00,5
205,2021-08-01 02:00:00,4
206,2021-08-01 03:00:00,3
207,2021-08-01 04:00:00,3
208,2021-08-01 05:00:00,9
209,2021-08-01 06:00:00,6
210,2021-08-01 07:00:00,12
211,2021-08-01 08:00:00,13
212,2021-08-01 09:00:00,17
213,2021-08-01 10:00:00,73
214,2021-08-01 11:00:00,15
215,2021-08-01 12:00:00,24
216,2021-08-01 13:00:00,33
217,2021-08-01 14:00:00,34
218,2021-08-01 15:00:00,35
219,2021-08-01 16:00:00,39
220,2021-08-01 17:00:00,30
221,2021-08-01 18:00:00,38
222,2021-08-01 19:00:00,26
223,2021-08-01 20:00:00,29
224,2021-08-01 21:00:00,10
225,2021-08-01 22:00:00,7
226,2021-08-01 23:00:00,11
227,2021-08-02 00:00:00,8
228,2021-08-02 01:00:00,6
229,2021-08-02 02:00:00,10
230,2021-08-02 03:00:00,8
231,2021-08-02 04:00:00,8
232,2021-08-02 05:00:00,14
233,2021-08-02 06:00:00,24
234,2021-08-02 07:00:00,50
235,2021-08-02 08:00:00,53
236,2021-08-02 09:00:00,48
237,2021-08-02 10:00:00,66
238,2021-08-02 11:00:00,72
239,2021-08-02 12:00:00,89
240,2021-08-02 13:00:00,116
241,2021-08-02 14:00:00,91
242,2021-08-02 15:00:00,89
243,2021-08-02 16:00:00,90
244,2021-08-02 17:00:00,83
245,2021-08-02 18:00:00,69
246,2021-08-02 19:00:00,77
247,2021-08-02 20:00:00,93
248,2021-08-02 21:00:00,82
249,2021-08-02 22:00:00,64
250,2021-08-02 23:00:00,73
251,2021-08-03 00:00:00,48
252,2021-08-03 01:00:00,36
